scheduled_ms,actual_ms,drift_ms
52380000,52380003,3.76
52440000,52440002,2.81
52500000,52500002,2.34
52560000,52560001,1.95
52620000,52620001,1.50
52680000,52680001,1.48
52740000,52740005,5.47
52800000,52799999,-0.41
52860000,52860002,2.95
52920000,52920002,2.43
52980000,52980001,1.91
53040000,53040001,1.74
53100000,53100002,2.00
53160000,53160001,1.17
53220000,53220001,1.05
53280000,53280001,1.09
53340000,53340000,0.79
53400000,53400000,0.88
53460000,53460000,0.96
53520000,53520000,0.70
53580000,53580000,0.83
53640000,53640000,0.53
53700000,53700000,0.40
53760000,53760000,0.48
53820000,53820000,0.52
53880000,53880000,0.34
53940000,53940001,1.96
54000000,53999999,-1.00
54060000,54060000,0.51
54120000,54120000,0.62
54180000,54180000,0.46
54240000,54240000,0.65
54300000,54300000,0.49
54360000,54360000,0.74
54420000,54420005,5.34
54480000,54479999,-0.29
54540000,54539999,-0.51
54600000,54599999,-0.34
54660000,54659999,-0.17
54720000,54719999,-0.02
54780000,54780000,0.39
54840000,54840000,0.19
54900000,54900000,0.37
54960000,54960000,0.29
55020000,55020000,0.70
55080000,55080000,0.23
55140000,55140000,0.56
55200000,55200000,0.93
55260000,55260000,0.18
55320000,55320000,0.51
55380000,55380000,0.45
55440000,55440000,0.46
55500000,55500000,0.39
55560000,55560000,0.55
55620000,55620005,5.79
55680000,55679999,-0.69
55740000,55739999,-0.61
55800000,55800006,6.71
55860000,55859998,-1.25
55920000,55920006,6.73
55980000,55979997,-2.27
56040000,56039998,-1.76
56100000,56099998,-1.39
56160000,56159999,-0.78
56220000,56219999,-0.56
56280000,56279999,-0.38
56340000,56340000,0.38
56400000,56400000,0.17
56460000,56460005,5.34
56520000,56519999,-0.88
56580000,56579999,-0.95
56640000,56639999,-0.71
56700000,56700005,5.24
56760000,56759998,-1.53
56820000,56819998,-1.16
56880000,56879999,-0.94
56940000,56940004,4.84
57000000,56999998,-1.51
57060000,57059998,-1.22
57120000,57119998,-1.15
57180000,57179999,-0.65
57240000,57240005,5.63
57300000,57299998,-1.76
57360000,57359998,-1.22
57420000,57419998,-1.05
57480000,57480004,4.13
57540000,57539998,-1.57
57600000,57599998,-1.12
57660000,57659998,-1.11
57720000,57719999,-0.70
57780000,57779999,-0.73
57840000,57839999,-0.38
57900000,57900003,3.95
57960000,57959999,-0.61
58020000,58019999,-0.58
58080000,58079999,-0.70
58140000,58139999,-0.72
58200000,58199999,-0.37
58260000,58259999,-0.37
58320000,58319999,-0.12
58380000,58379999,-0.09
58440000,58439999,-0.27
58500000,58500000,0.08
58560000,58559999,-0.16
58620000,58620000,0.83
58680000,58679999,-0.24
58740000,58739999,-0.04
58800000,58799999,-0.01
58860000,58859999,-0.09
58920000,58919999,-0.01
58980000,58979999,-0.02
59040000,59040000,0.22
59100000,59100000,0.55
59160000,59159999,-0.06
59220000,59219999,-0.04
59280000,59280000,0.12
59340000,59340000,0.12
59400000,59400000,0.31
59460000,59460000,0.37
59520000,59520000,0.20
59580000,59579999,-0.03
59640000,59640000,0.08
59700000,59700000,0.64
59760000,59760000,0.15
59820000,59820000,0.37
59880000,59880001,1.24
59940000,59940000,0.58
60000000,59999999,-0.04
60060000,60059999,-0.15
60120000,60119999,-0.07
60180000,60179996,-3.22
60240000,60240001,1.67
60300000,60300000,0.38
60360000,60360000,0.21
60420000,60420000,0.30
60480000,60480000,0.54
60540000,60539999,-0.03
60600000,60599999,-0.03
60660000,60659999,-0.02
60720000,60720000,0.19
60780000,60780000,0.10
60840000,60840000,0.21
60900000,60900000,0.65
60960000,60959999,-0.02
61020000,61019999,-0.08
61080000,61080000,0.13
61140000,61140000,0.16
61200000,61199999,-0.00
61260000,61260000,0.36
61320000,61319999,-0.04
61380000,61380000,0.36
61440000,61440000,0.29
61500000,61499999,-0.10
61560000,61560000,0.10
61620000,61620000,0.31
61680000,61680000,0.11
61740000,61740000,0.17
61800000,61800000,0.26
61860000,61860000,0.15
61920000,61920000,0.14
61980000,61980000,0.26
62040000,62039999,-0.12
62100000,62099999,-0.02
62160000,62160000,0.34
62220000,62220000,0.29
62280000,62279999,-0.04
62340000,62340004,4.75
62400000,62399999,-0.67
62460000,62459999,-0.50
62520000,62519999,-0.41
62580000,62580000,0.27
62640000,62639999,-0.30
62700000,62699999,-0.18
62760000,62759999,-0.36
62820000,62819999,-0.10
62880000,62879999,-0.05
62940000,62939999,-0.12
63000000,63000000,0.11
63060000,63059999,-0.09
63120000,63119999,-0.06
63180000,63180000,0.19
63240000,63239999,-0.01
63300000,63300002,2.84
63360000,63359999,-0.26
63420000,63419999,-0.19
63480000,63479999,-0.33
63540000,63540000,0.93
63600000,63600000,0.84
63660000,63660006,6.53
63720000,63719998,-1.57
63780000,63779998,-1.22
63840000,63839999,-0.97
63900000,63899999,-0.86
63960000,63959999,-0.53
64020000,64019999,-0.38
64080000,64079999,-0.41
64140000,64139996,-3.32
64200000,64200000,0.59
64260000,64260000,0.35
64320000,64320000,0.31
64380000,64380005,5.33
64440000,64439999,-0.63
64500000,64499999,-0.50
64560000,64559999,-0.47
64620000,64619999,-0.42
64680000,64679999,-0.51
64740000,64739999,-0.19
64800000,64800000,0.42
64860000,64859999,-0.08
64920000,64919999,-0.24
64980000,64979999,-0.08
65040000,65039999,-0.05
65100000,65099999,-0.16
65160000,65160000,0.39
65220000,65219999,-0.13
65280000,65280000,0.97
65340000,65339999,-0.10
65400000,65399999,-0.13
65460000,65459999,-0.10
65520000,65520003,3.01
65580000,65579999,-0.52
65640000,65639999,-0.27
65700000,65699999,-0.22
65760000,65759999,-0.33
65820000,65819999,-0.25
65880000,65879999,-0.13
65940000,65939999,-0.12
66000000,66000000,0.35
66060000,66060000,0.11
66120000,66119999,-0.02
66180000,66180000,0.28
66240000,66240000,0.36
66300000,66299999,-0.11
66360000,66360006,6.70
66420000,66419999,-0.99
66480000,66479999,-0.84
66540000,66539999,-0.71
66600000,66599999,-0.46
66660000,66660005,5.75
66720000,66719998,-1.37
66780000,66779997,-2.49
66840000,66839999,-0.60
66900000,66900006,6.96
66960000,66959998,-1.64
67020000,67019998,-1.66
67080000,67079999,-0.96
67140000,67139999,-0.18
67200000,67199999,-0.73
67260000,67259999,-0.80
67320000,67319999,-0.71
67380000,67379999,-0.39
67440000,67440008,8.54
67500000,67499998,-1.96
67560000,67559995,-4.69
67620000,67619999,-0.67
67680000,67680004,4.46
67740000,67739998,-1.14
67800000,67799998,-1.11
67860000,67860000,0.57
67920000,67919999,-0.81
67980000,67979999,-0.79
68040000,68039999,-0.38
68100000,68099999,-0.50
68160000,68160004,4.79
68220000,68219998,-1.04
68280000,68279999,-0.99
68340000,68339999,-0.75
68400000,68399999,-0.45
68460000,68459999,-0.46
68520000,68519999,-0.18
68580000,68579999,-0.12
68640000,68639999,-0.24
68700000,68699999,-0.36
68760000,68759999,-0.14
68820000,68820000,0.35
68880000,68879999,-0.09
68940000,68939999,-0.17
69000000,69000003,3.75
69060000,69059999,-0.55
69120000,69119999,-0.44
69180000,69179999,-0.47
69240000,69239999,-0.19
69300000,69299999,-0.14
69360000,69359999,-0.27
69420000,69419999,-0.06
69480000,69479999,-0.22
69540000,69540002,2.91
69600000,69600000,0.63
69660000,69659999,-0.51
69720000,69719999,-0.58
69780000,69779999,-0.45
69840000,69839999,-0.14
69900000,69899999,-0.07
69960000,69960002,2.98
70020000,70019999,-0.50
70080000,70079999,-0.45
70140000,70139999,-0.43
70200000,70199999,-0.36
70260000,70259999,-0.27
70320000,70319999,-0.07
70380000,70380005,5.36
70440000,70439999,-0.87
70500000,70499999,-0.46
70560000,70560004,4.43
70620000,70619998,-1.21
70680000,70680005,5.26
70740000,70739998,-1.44
70800000,70799998,-1.83
70860000,70859999,-0.47
70920000,70919998,-1.39
70980000,70979999,-0.97
71040000,71039999,-0.65
71100000,71099999,-0.59
71160000,71159999,-0.64
71220000,71219999,-0.40
71280000,71279999,-0.36
71340000,71339999,-0.19
71400000,71399999,-0.14
71460000,71459999,-0.06
71520000,71520000,0.40
71580000,71580000,0.34
71640000,71640000,0.13
71700000,71699999,-0.10
71760000,71759999,-0.00
71820000,71819999,-0.10
71880000,71880000,0.15
71940000,71940000,0.25
72000000,72000000,0.26
72060000,72060000,0.10
72120000,72120001,1.19
72180000,72179999,-0.33
72240000,72239999,-0.15
72300000,72300000,0.33
72360000,72359999,-0.00
72420000,72419999,-0.15
72480000,72479999,-0.12
72540000,72540000,0.28
72600000,72600007,7.01
72660000,72660004,4.88
72720000,72719997,-2.12
72780000,72779998,-1.99
72840000,72839998,-1.47
72900000,72899998,-1.10
72960000,72960000,0.57
73020000,73019998,-1.06
73080000,73080002,2.40
73140000,73139999,-0.95
73200000,73199998,-1.09
73260000,73259999,-0.78
73320000,73319999,-0.68
73380000,73379999,-0.33
73440000,73439999,-0.23
73500000,73500000,0.69
73560000,73559999,-0.40
73620000,73619999,-0.16
73680000,73679999,-0.08
73740000,73739999,-0.09
73800000,73799999,-0.01
73860000,73860000,0.32
73920000,73920000,0.08
73980000,73980000,0.83
74040000,74039999,-0.24
74100000,74099999,-0.21
74160000,74160000,0.47
74220000,74219999,-0.07
74280000,74280000,0.27
74340000,74340000,0.46
74400000,74400010,10.41
74460000,74459997,-2.19
74520000,74519998,-1.72
74580000,74580003,3.99
74640000,74639998,-1.90
74700000,74699998,-1.58
74760000,74760004,4.03
74820000,74819998,-1.86
74880000,74879998,-1.54
74940000,74939998,-1.35
75000000,74999999,-0.85
75060000,75059999,-0.89
75120000,75119999,-0.59
75180000,75179999,-0.44
75240000,75239999,-0.47
75300000,75299999,-0.30
75360000,75359999,-0.06
75420000,75419999,-0.21
75480000,75480000,0.16
75540000,75540000,0.11
75600000,75599999,-0.07
75660000,75660002,2.78
75720000,75719999,-0.28
75780000,75779999,-0.36
75840000,75839999,-0.35
75900000,75900000,0.59
75960000,75959999,-0.28
76020000,76020005,5.69
76080000,76079998,-1.03
76140000,76139999,-0.83
76200000,76199999,-0.74
76260000,76259999,-0.51
76320000,76319999,-0.59
76380000,76379999,-0.20
76440000,76439999,-0.07
76500000,76499999,-0.09
76560000,76559999,-0.27
76620000,76620000,0.14
76680000,76679999,-0.02
76740000,76739998,-1.33
76800000,76800000,0.12
76860000,76859999,-0.08
76920000,76920000,0.51
76980000,76979999,-0.07
77040000,77040000,0.26
77100000,77099999,-0.02
77160000,77160003,3.10
77220000,77219999,-0.48
77280000,77280001,1.17
77340000,77339999,-0.43
77400000,77399999,-0.35
77460000,77459999,-0.20
77520000,77519999,-0.19
77580000,77579999,-0.28
77640000,77639999,-0.03
77700000,77700000,0.10
77760000,77760000,0.33
77820000,77820001,1.61
77880000,77879999,-0.04
77940000,77939999,-0.01
78000000,77999999,-0.40
78060000,78060000,0.51
78120000,78119999,-0.40
78180000,78179999,-0.13
78240000,78240000,0.88
78300000,78300000,0.15
78360000,78359999,-0.34
78420000,78419999,-0.32
78480000,78479999,-0.05
78540000,78540000,0.11
78600000,78599999,-0.01
78660000,78660000,0.17
78720000,78720000,0.16
78780000,78780000,0.13
78840000,78840000,0.14
78900000,78900008,8.93
78960000,78959998,-1.42
79020000,79019998,-1.34
79080000,79079998,-1.19
79140000,79139999,-0.90
79200000,79200005,5.30
79260000,79259998,-1.51
79320000,79319998,-1.36
79380000,79379999,-0.99
79440000,79439999,-0.65
79500000,79499999,-0.61
79560000,79559999,-0.38
79620000,79619999,-0.24
79680000,79679999,-0.29
79740000,79740000,0.19
79800000,79799999,-0.13
79860000,79859999,-0.22
79920000,79920006,6.68
79980000,79979998,-1.23
80040000,80039999,-0.93
80100000,80100003,3.97
80160000,80159998,-1.60
80220000,80219998,-1.31
80280000,80279999,-0.98
80340000,80339999,-0.60
80400000,80400000,0.15
80460000,80459999,-0.47
80520000,80519999,-0.43
80580000,80579999,-0.30
80640000,80640000,0.36
80700000,80699999,-0.35
80760000,80759999,-0.09
80820000,80819999,-0.07
80880000,80879999,-0.14
80940000,80939999,-0.01
81000000,81000005,5.20
81060000,81059998,-1.11
81120000,81119999,-0.72
81180000,81179999,-0.07
81240000,81239999,-0.52
81300000,81299999,-0.42
81360000,81360002,2.76
81420000,81419999,-0.91
81480000,81479999,-0.28
81540000,81539998,-1.76
81600000,81599999,-0.25
81660000,81659999,-0.28
81720000,81720000,0.53
81780000,81779999,-0.17
81840000,81839999,-0.01
81900000,81900001,1.06
81960000,81960004,4.50
82020000,82019998,-1.11
82080000,82079999,-0.76
