timestamp_iso,correlated_with,correlation,lag_timestamp_iso
2025-10-01T01:16:00+0100,XRP-USDT,-0.883687,2025-10-01T01:15:00+0100
2025-10-01T01:17:00+0100,BTC-USDT,-0.827603,2025-10-01T01:15:00+0100
2025-10-01T01:18:00+0100,BTC-USDT,-0.960033,2025-10-01T01:15:00+0100
2025-10-01T01:19:00+0100,LTC-USDT,-0.985525,2025-10-01T01:19:00+0100
2025-10-01T01:20:00+0100,SOL-USDT,-0.983813,2025-10-01T01:19:00+0100
2025-10-01T01:21:00+0100,LTC-USDT,-0.989542,2025-10-01T01:19:00+0100
2025-10-01T01:22:00+0100,XRP-USDT,-0.98426,2025-10-01T01:21:00+0100
2025-10-01T01:23:00+0100,XRP-USDT,-0.98426,2025-10-01T01:21:00+0100
2025-10-01T01:24:00+0100,ETH-USDT,-0.941013,2025-10-01T01:20:00+0100
2025-10-01T01:25:00+0100,ETH-USDT,-0.941866,2025-10-01T01:21:00+0100
2025-10-01T01:26:00+0100,ETH-USDT,-0.816279,2025-10-01T01:17:00+0100
2025-10-01T01:27:00+0100,ADA-USDT,0.715426,2025-10-01T01:15:00+0100
2025-10-01T01:28:00+0100,BTC-USDT,0.686817,2025-10-01T01:15:00+0100
2025-10-01T01:29:00+0100,XRP-USDT,0.89804,2025-10-01T01:24:00+0100
2025-10-01T01:30:00+0100,XRP-USDT,0.950238,2025-10-01T01:17:00+0100
2025-10-01T01:31:00+0100,XRP-USDT,0.950238,2025-10-01T01:17:00+0100
2025-10-01T01:32:00+0100,SOL-USDT,0.994799,2025-10-01T01:31:00+0100
2025-10-01T01:33:00+0100,SOL-USDT,0.994799,2025-10-01T01:31:00+0100
2025-10-01T01:34:00+0100,SOL-USDT,0.998318,2025-10-01T01:32:00+0100
2025-10-01T01:35:00+0100,SOL-USDT,0.998318,2025-10-01T01:32:00+0100
2025-10-01T01:36:00+0100,BTC-USDT,0.920933,2025-10-01T01:35:00+0100
2025-10-01T01:37:00+0100,BTC-USDT,0.645076,2025-10-01T01:36:00+0100
2025-10-01T01:38:00+0100,BTC-USDT,-0.566357,2025-10-01T01:35:00+0100
2025-10-01T01:39:00+0100,ETH-USDT,0.818848,2025-10-01T01:38:00+0100
2025-10-01T01:40:00+0100,ETH-USDT,0.818848,2025-10-01T01:38:00+0100
2025-10-01T01:41:00+0100,ADA-USDT,0.955693,2025-10-01T01:22:00+0100
2025-10-01T01:42:00+0100,DOGE-USDT,0.986138,2025-10-01T01:41:00+0100
2025-10-01T01:43:00+0100,LTC-USDT,0.988269,2025-10-01T01:16:00+0100
2025-10-01T01:44:00+0100,LTC-USDT,0.987674,2025-10-01T01:17:00+0100
2025-10-01T01:45:00+0100,LTC-USDT,0.994494,2025-10-01T01:20:00+0100
2025-10-01T01:46:00+0100,LTC-USDT,0.985828,2025-10-01T01:45:00+0100
2025-10-01T01:47:00+0100,DOGE-USDT,0.992336,2025-10-01T01:36:00+0100
2025-10-01T01:48:00+0100,DOGE-USDT,0.993198,2025-10-01T01:38:00+0100
2025-10-01T01:49:00+0100,ADA-USDT,0.99814,2025-10-01T01:27:00+0100
2025-10-01T01:50:00+0100,ADA-USDT,0.992559,2025-10-01T01:21:00+0100
2025-10-01T01:51:00+0100,ADA-USDT,0.992559,2025-10-01T01:21:00+0100
2025-10-01T01:52:00+0100,DOGE-USDT,0.997308,2025-10-01T01:25:00+0100
2025-10-01T01:53:00+0100,DOGE-USDT,0.997308,2025-10-01T01:25:00+0100
2025-10-01T01:54:00+0100,BTC-USDT,-0.995424,2025-10-01T01:47:00+0100
2025-10-01T01:55:00+0100,BTC-USDT,-0.995424,2025-10-01T01:47:00+0100
2025-10-01T01:56:00+0100,BTC-USDT,-0.954263,2025-10-01T01:49:00+0100
2025-10-01T01:57:00+0100,BTC-USDT,-0.984933,2025-10-01T01:24:00+0100
2025-10-01T01:58:00+0100,BTC-USDT,-0.984933,2025-10-01T01:24:00+0100
2025-10-01T01:59:00+0100,BTC-USDT,-0.997688,2025-10-01T01:26:00+0100
2025-10-01T02:00:00+0100,BTC-USDT,-0.997688,2025-10-01T01:26:00+0100
2025-10-01T02:01:00+0100,BTC-USDT,-0.998504,2025-10-01T01:21:00+0100
2025-10-01T02:02:00+0100,BTC-USDT,-0.996885,2025-10-01T01:22:00+0100
2025-10-01T02:03:00+0100,BNB-USDT,-0.993149,2025-10-01T01:48:00+0100
2025-10-01T02:04:00+0100,BNB-USDT,-0.994996,2025-10-01T01:49:00+0100
2025-10-01T02:05:00+0100,XRP-USDT,-0.998725,2025-10-01T01:19:00+0100
2025-10-01T02:06:00+0100,XRP-USDT,-0.998524,2025-10-01T01:20:00+0100
2025-10-01T02:07:00+0100,LTC-USDT,-0.997285,2025-10-01T01:44:00+0100
2025-10-01T02:08:00+0100,LTC-USDT,-0.997285,2025-10-01T01:44:00+0100
2025-10-01T02:09:00+0100,BNB-USDT,0.997896,2025-10-01T01:19:00+0100
2025-10-01T02:10:00+0100,SOL-USDT,-0.991043,2025-10-01T01:19:00+0100
2025-10-01T02:11:00+0100,DOGE-USDT,0.987381,2025-10-01T02:06:00+0100
2025-10-01T02:12:00+0100,ETH-USDT,0.987781,2025-10-01T02:04:00+0100
2025-10-01T02:13:00+0100,ADA-USDT,0.989215,2025-10-01T02:03:00+0100
2025-10-01T02:14:00+0100,BTC-USDT,0.985264,2025-10-01T01:43:00+0100
2025-10-01T02:15:00+0100,BTC-USDT,0.985264,2025-10-01T01:43:00+0100
2025-10-01T02:16:00+0100,XRP-USDT,-0.991557,2025-10-01T01:26:00+0100
2025-10-01T02:17:00+0100,XRP-USDT,-0.991557,2025-10-01T01:26:00+0100
2025-10-01T02:18:00+0100,XRP-USDT,-0.993959,2025-10-01T01:28:00+0100
2025-10-01T02:19:00+0100,DOGE-USDT,0.993761,2025-10-01T02:03:00+0100
2025-10-01T02:20:00+0100,DOGE-USDT,0.993761,2025-10-01T02:03:00+0100
2025-10-01T02:21:00+0100,ETH-USDT,0.965455,2025-10-01T02:20:00+0100
2025-10-01T02:22:00+0100,SOL-USDT,-0.906993,2025-10-01T01:56:00+0100
2025-10-01T02:23:00+0100,SOL-USDT,-0.906993,2025-10-01T01:56:00+0100
