timestamp_iso,correlated_with,correlation,lag_timestamp_iso
2025-10-01T01:16:00+0100,ETH-USDT,0.994825,2025-10-01T01:15:00+0100
2025-10-01T01:17:00+0100,ETH-USDT,0.998633,2025-10-01T01:16:00+0100
2025-10-01T01:18:00+0100,ETH-USDT,0.9978,2025-10-01T01:17:00+0100
2025-10-01T01:19:00+0100,ETH-USDT,0.996377,2025-10-01T01:19:00+0100
2025-10-01T01:20:00+0100,BTC-USDT,0.995672,2025-10-01T01:20:00+0100
2025-10-01T01:21:00+0100,BTC-USDT,0.99191,2025-10-01T01:21:00+0100
2025-10-01T01:22:00+0100,SOL-USDT,0.989506,2025-10-01T01:20:00+0100
2025-10-01T01:23:00+0100,SOL-USDT,0.989506,2025-10-01T01:20:00+0100
2025-10-01T01:24:00+0100,ADA-USDT,0.99703,2025-10-01T01:22:00+0100
2025-10-01T01:25:00+0100,ADA-USDT,0.997679,2025-10-01T01:23:00+0100
2025-10-01T01:26:00+0100,ADA-USDT,0.991895,2025-10-01T01:24:00+0100
2025-10-01T01:27:00+0100,XRP-USDT,0.994728,2025-10-01T01:20:00+0100
2025-10-01T01:28:00+0100,XRP-USDT,0.9968,2025-10-01T01:21:00+0100
2025-10-01T01:29:00+0100,XRP-USDT,0.995682,2025-10-01T01:22:00+0100
2025-10-01T01:30:00+0100,LTC-USDT,0.993329,2025-10-01T01:30:00+0100
2025-10-01T01:31:00+0100,LTC-USDT,0.993329,2025-10-01T01:30:00+0100
2025-10-01T01:32:00+0100,XRP-USDT,0.995434,2025-10-01T01:20:00+0100
2025-10-01T01:33:00+0100,XRP-USDT,0.995434,2025-10-01T01:20:00+0100
2025-10-01T01:34:00+0100,BTC-USDT,0.973747,2025-10-01T01:22:00+0100
2025-10-01T01:35:00+0100,BTC-USDT,0.973747,2025-10-01T01:22:00+0100
2025-10-01T01:36:00+0100,BTC-USDT,0.993325,2025-10-01T01:21:00+0100
2025-10-01T01:37:00+0100,BTC-USDT,0.989681,2025-10-01T01:22:00+0100
2025-10-01T01:38:00+0100,LTC-USDT,0.987889,2025-10-01T01:37:00+0100
2025-10-01T01:39:00+0100,ETH-USDT,0.991587,2025-10-01T01:29:00+0100
2025-10-01T01:40:00+0100,ETH-USDT,0.991587,2025-10-01T01:29:00+0100
2025-10-01T01:41:00+0100,ETH-USDT,0.998097,2025-10-01T01:31:00+0100
